RequestID,ArrivalTime,CompletionTime,InputTokens,OutputTokens,Latency,TTFT,TPOT,Success,QueueingDelay,SendCount
270,1781870747.290576,1781872440.215606,2016,302,796.262857,137.884222,2.187304,True,896.662174,1
355,1781870747.293021,1781872475.149530,6487,3,437.836632,426.326663,5.754985,True,1290.019877,1
185,1781870747.288036,1781871261.599981,3158,22,14.684046,8.884284,0.276179,True,499.627899,1
506,1781870747.297402,1781872759.171727,6173,32,70.646877,6.918192,2.055764,True,1941.227448,1
591,1781870747.299936,1781873390.060978,6166,25,316.523318,256.832699,2.487109,True,2326.237724,1
676,1781870747.302325,1781873470.537143,6166,3,36.774521,36.297741,0.238390,True,2686.460298,1
271,1781870747.290602,1781871912.011842,5682,35,268.047699,199.594323,2.013335,True,896.673540,1
356,1781870747.293048,1781872066.611611,6178,3,23.697412,17.252709,3.222351,True,1295.621151,1
186,1781870747.288063,1781871899.905736,3535,228,652.854086,324.492092,1.446529,True,499.763587,1
15,1781870747.282976,1781871146.876843,15172,80,398.666824,53.226789,4.372659,True,0.927043,1
507,1781870747.297444,1781872773.094671,6166,31,84.105832,24.492810,1.987101,True,1941.691394,1
592,1781870747.299962,1781873523.961261,9582,300,449.796632,11.198339,1.466884,True,2326.864667,1
677,1781870747.302358,1781873549.676379,3132,19,111.400352,59.827751,2.865145,True,2690.973669,1
272,1781870747.290633,1781871697.052628,6411,27,51.030450,10.524890,1.557906,True,898.731545,1
357,1781870747.293075,1781872109.095761,6221,25,60.026073,23.259108,1.531957,True,1301.776613,1
187,1781870747.288089,1781871350.614927,6777,39,89.502848,54.571896,0.919236,True,513.823990,1
474,1781870747.296504,1781873033.110060,6338,3,494.808716,487.379457,3.714630,True,1791.004841,1
508,1781870747.297473,1781872748.752378,3154,24,42.039910,10.095227,1.388899,True,1959.414995,1
593,1781870747.299989,1781873457.473151,4999,230,383.018340,21.870438,1.577065,True,2327.154823,1
678,1781870747.302384,1781873516.016296,7420,3,71.226378,70.662452,0.281963,True,2697.487534,1
273,1781870747.290668,1781871716.735597,7077,35,70.486638,36.499859,0.999611,True,898.958291,1
358,1781870747.293102,1781872290.234975,6593,57,237.705005,138.062681,1.779327,True,1305.236868,1
188,1781870747.288116,1781871381.699913,9227,160,120.092070,10.672430,0.688174,True,514.319727,1
440,1781870747.295537,1781873241.339121,8767,449,862.293576,9.925259,1.902608,True,1631.750008,1
509,1781870747.297500,1781872832.096505,1661,93,125.021256,60.789713,0.698169,True,1959.777749,1
594,1781870747.300016,1781873709.356939,14376,241,634.624184,222.818290,1.715858,True,2327.432739,1
679,1781870747.302411,1781873545.172203,6649,22,99.150811,52.429318,2.224833,True,2698.718980,1
274,1781870747.290696,1781872092.322417,7718,191,439.676194,38.060318,2.113768,True,905.355527,1
359,1781870747.293129,1781872094.008712,3130,19,40.965257,7.533386,1.857326,True,1305.750325,1
189,1781870747.288142,1781871987.919761,897,574,725.942892,11.405840,1.247011,True,514.688728,1
5,1781870747.282650,1781871277.327155,4834,173,529.227961,26.713721,2.921594,True,0.816543,1
510,1781870747.297531,1781872736.525245,6193,3,17.971580,17.400013,0.285784,True,1971.256135,1
595,1781870747.300042,1781873108.259351,2971,14,22.078222,3.457823,1.432338,True,2338.881087,1
680,1781870747.302541,1781874323.806753,10049,372,866.331767,271.381999,1.603638,True,2710.172445,1
