experiment,run,pipeline,stage,node_type,node_num,ip,gpu,module,start_time,end_time,loading_time,time_from_ray_start
10_iterations,0,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761566826.6535654,1761566904.8527617,78.19919633865356,194.42844438552856
10_iterations,0,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761566770.2209573,1761566793.806546,23.585588693618774,83.38222861289978
10_iterations,0,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761566770.2198224,1761566794.2637959,24.043973445892334,83.83947849273682
10_iterations,0,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761566770.2208178,1761566793.8062127,23.585394859313965,83.3818953037262
10_iterations,0,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761566770.22017,1761566794.593032,24.372861862182617,84.16871452331543
10_iterations,0,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761566770.501043,1761566793.4878728,22.98682975769043,83.06355547904968
10_iterations,0,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761566770.501647,1761566793.4871762,22.98552918434143,83.06285881996155
10_iterations,0,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761566770.5012069,1761566793.8188288,23.31762194633484,83.39451146125793
10_iterations,0,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761566770.501695,1761566794.6141791,24.112484216690063,84.18986177444458
10_iterations,0,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761566770.566263,1761566794.8310428,24.264779806137085,84.40672540664673
10_iterations,0,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761566770.5661986,1761566796.5564466,25.99024796485901,86.1321291923523
10_iterations,0,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761566770.5668652,1761566794.819814,24.252948760986328,84.39549660682678
10_iterations,0,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761566770.5669847,1761566794.9094148,24.342430114746094,84.48509740829468
10_iterations,0,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761566770.0955536,1761566824.2308738,54.13532018661499,113.80655646324158
10_iterations,0,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761566770.2963498,1761566826.3716803,56.07533049583435,115.94736289978027
10_iterations,1,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567127.0788522,1761567187.6650033,60.586151123046875,73.49225354194641
10_iterations,1,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567116.147867,1761567140.2558174,24.107950448989868,26.083067655563354
10_iterations,1,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567116.5677452,1761567139.7823803,23.214635133743286,25.609630584716797
10_iterations,1,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567117.0949328,1761567141.9003103,24.80537748336792,27.72756052017212
10_iterations,1,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567117.5709424,1761567140.4976008,22.926658391952515,26.324851036071777
10_iterations,1,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567118.3704307,1761567141.6968856,23.326454877853394,27.52413582801819
10_iterations,1,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567118.5796897,1761567139.3596535,20.779963731765747,25.186903715133667
10_iterations,1,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567119.0545242,1761567143.2294476,24.174923419952393,29.056697845458984
10_iterations,1,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567119.5208979,1761567142.669445,23.148547172546387,28.496695280075073
10_iterations,1,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567120.30564,1761567142.418852,22.11321210861206,28.246102333068848
10_iterations,1,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567120.5818737,1761567140.9957082,20.41383457183838,26.82295846939087
10_iterations,1,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567121.0923276,1761567141.5688927,20.47656512260437,27.396142959594727
10_iterations,1,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567121.5393884,1761567144.651074,23.111685514450073,30.47832417488098
10_iterations,1,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567122.220964,1761567166.9295928,44.70862889289856,52.75684309005737
10_iterations,1,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567122.6990664,1761567180.3998659,57.70079946517944,66.22711610794067
10_iterations,2,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567255.4015381,1761567311.214187,55.81264877319336,68.64682173728943
10_iterations,2,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567244.3274374,1761567265.9144971,21.58705973625183,23.347131967544556
10_iterations,2,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567244.816743,1761567265.2596178,20.442874908447266,22.69225263595581
10_iterations,2,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567245.3387523,1761567266.4797158,21.140963554382324,23.91235065460205
10_iterations,2,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567245.8641667,1761567267.7423365,21.878169775009155,25.174971342086792
10_iterations,2,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567246.616404,1761567265.8237195,19.20731544494629,23.256354331970215
10_iterations,2,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567246.8470526,1761567268.6258962,21.778843641281128,26.058531045913696
10_iterations,2,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567247.3129563,1761567267.997514,20.684557676315308,25.43014883995056
10_iterations,2,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567247.8662367,1761567268.5896173,20.72338056564331,26.022252082824707
10_iterations,2,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567248.5839763,1761567270.1927426,21.608766317367554,27.625377416610718
10_iterations,2,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567249.0290065,1761567268.1944666,19.165460109710693,25.6271014213562
10_iterations,2,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567249.3395836,1761567268.3550692,19.015485525131226,25.78770399093628
10_iterations,2,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567249.8626015,1761567270.1986442,20.336042642593384,27.63127899169922
10_iterations,2,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567250.4507153,1761567299.8208797,49.37016439437866,57.253514528274536
10_iterations,2,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567250.9338853,1761567303.920054,52.98616862297058,61.352688789367676
10_iterations,3,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567487.2286475,1761567563.556928,76.32828044891357,89.0264196395874
10_iterations,3,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567476.2885234,1761567498.6329072,22.344383716583252,24.10239887237549
10_iterations,3,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567476.820896,1761567499.6362207,22.815324783325195,25.105712413787842
10_iterations,3,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567477.2805002,1761567499.0814748,21.80097460746765,24.550966501235962
10_iterations,3,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567477.8668423,1761567499.8496642,21.982821941375732,25.31915593147278
10_iterations,3,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567478.5091743,1761567500.3071616,21.79798722267151,25.776653289794922
10_iterations,3,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567478.8140948,1761567499.3310156,20.516920804977417,24.800507307052612
10_iterations,3,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567479.256072,1761567500.719958,21.46388602256775,26.189449787139893
10_iterations,3,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567479.7280023,1761567499.8948724,20.1668701171875,25.36436414718628
10_iterations,3,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567480.585811,1761567502.4858902,21.900079250335693,27.955381870269775
10_iterations,3,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567480.7535412,1761567502.9756057,22.22206449508667,28.44509744644165
10_iterations,3,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567481.2861369,1761567502.7183733,21.432236433029175,28.187865018844604
10_iterations,3,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567481.7595034,1761567504.6662486,22.906745195388794,30.135740280151367
10_iterations,3,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567482.4480476,1761567528.6058555,46.15780782699585,54.07534718513489
10_iterations,3,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567482.8881433,1761567553.921448,71.0333046913147,79.39093971252441
10_iterations,4,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567604.2792933,1761567660.34115,56.061856746673584,69.0671489238739
10_iterations,4,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567593.1240208,1761567616.4585483,23.334527492523193,25.184547185897827
10_iterations,4,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567593.6156843,1761567616.745721,23.1300368309021,25.471719980239868
10_iterations,4,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567594.132361,1761567617.5900526,23.45769166946411,26.316051483154297
10_iterations,4,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567594.7627342,1761567615.890514,21.127779722213745,24.616512775421143
10_iterations,4,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567595.371177,1761567616.1100276,20.738850593566895,24.836026430130005
10_iterations,4,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567595.6385212,1761567616.7235687,21.085047483444214,25.449567556381226
10_iterations,4,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567596.1079636,1761567616.4107604,20.302796840667725,25.136759281158447
10_iterations,4,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567596.6852508,1761567616.8015733,20.11632251739502,25.52757215499878
10_iterations,4,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567597.5217931,1761567618.6977696,21.175976514816284,27.423768520355225
10_iterations,4,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567597.7750187,1761567618.466282,20.69126319885254,27.192280769348145
10_iterations,4,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567598.308351,1761567619.468694,21.160342931747437,28.194692850112915
10_iterations,4,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567598.7855988,1761567619.4895275,20.70392870903015,28.215526342391968
10_iterations,4,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567599.4136527,1761567652.1895542,52.775901556015015,60.91555309295654
10_iterations,4,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567599.8732247,1761567651.9428668,52.069642066955566,60.66886568069458
10_iterations,5,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567816.0664139,1761567877.2409072,61.17449331283569,73.96962213516235
10_iterations,5,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567805.001014,1761567826.6483457,21.647331714630127,23.377060651779175
10_iterations,5,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567805.6338062,1761567826.575462,20.94165587425232,23.304177045822144
10_iterations,5,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567805.9998598,1761567828.3146226,22.314762830734253,25.04333758354187
10_iterations,5,1,0,g6_12xlarge,1,192.168.0.226,3,tensorstore,1761567806.6252263,1761567829.3149748,22.689748525619507,26.043689727783203
10_iterations,5,1,1,g6_12xlarge,2,192.168.0.195,0,tensorstore,1761567807.2866397,1761567828.1419203,20.85528063774109,24.870635271072388
10_iterations,5,1,1,g6_12xlarge,2,192.168.0.195,1,tensorstore,1761567807.5782747,1761567827.1747913,19.596516609191895,23.9035062789917
10_iterations,5,1,1,g6_12xlarge,2,192.168.0.195,2,tensorstore,1761567808.0245862,1761567826.3059049,18.28131866455078,23.03461980819702
10_iterations,5,1,1,g6_12xlarge,2,192.168.0.195,3,tensorstore,1761567808.5971367,1761567828.1469169,19.549780130386353,24.87563180923462
10_iterations,5,1,2,g6_12xlarge,3,192.168.0.127,0,tensorstore,1761567809.2648044,1761567832.5445678,23.2797634601593,29.273282766342163
10_iterations,5,1,2,g6_12xlarge,3,192.168.0.127,1,tensorstore,1761567809.5567675,1761567830.9816813,21.42491388320923,27.71039628982544
10_iterations,5,1,2,g6_12xlarge,3,192.168.0.127,2,tensorstore,1761567810.0538151,1761567831.1610215,21.107206344604492,27.88973641395569
10_iterations,5,1,2,g6_12xlarge,3,192.168.0.127,3,tensorstore,1761567810.5706143,1761567831.7886689,21.21805453300476,28.517383813858032
10_iterations,5,1,3,g6e_xlarge,1,192.168.0.36,0,tensorstore,1761567811.1915538,1761567858.9567587,47.76520490646362,55.685473680496216
10_iterations,5,1,4,g6e_xlarge,2,192.168.0.143,0,tensorstore,1761567811.6534655,1761567868.4074302,56.75396466255188,65.13614511489868
10_iterations,6,1,0,g6_12xlarge,1,192.168.0.226,all,apiserver,1761567917.652794,1761567973.222506,55.56971216201782,68.40908765792847
10_iterations,6,1,0,g6_12xlarge,1,192.168.0.226,0,tensorstore,1761567906.6669664,1761567927.4330895,20.766123056411743,22.6196711063385
10_iterations,6,1,0,g6_12xlarge,1,192.168.0.226,1,tensorstore,1761567907.1586983,1761567927.0916796,19.932981252670288,22.278261184692383
10_iterations,6,1,0,g6_12xlarge,1,192.168.0.226,2,tensorstore,1761567907.833068,1761567929.2957551,21.462687253952026,24.48233675956726
