InstanceType,AZ,DDDRequestTime,Total,Success,Fail,RequestDateTime
g5.12xlarge,us-west-2c,1759190416,5,0,5,2025-09-30 00:00:16
g5.12xlarge,us-west-2c,1759191016,5,0,5,2025-09-30 00:10:16
g5.12xlarge,us-west-2c,1759191616,5,0,5,2025-09-30 00:20:16
g5.12xlarge,us-west-2c,1759192216,5,0,5,2025-09-30 00:30:16
g5.12xlarge,us-west-2c,1759192816,5,0,5,2025-09-30 00:40:16
g5.12xlarge,us-west-2c,1759193416,5,0,5,2025-09-30 00:50:16
g5.12xlarge,us-west-2c,1759194016,5,0,5,2025-09-30 01:00:16
g5.12xlarge,us-west-2c,1759194616,5,0,5,2025-09-30 01:10:16
g5.12xlarge,us-west-2c,1759195216,5,0,5,2025-09-30 01:20:16
g5.12xlarge,us-west-2c,1759195816,5,5,0,2025-09-30 01:30:16
g5.12xlarge,us-west-2c,1759196416,5,2,3,2025-09-30 01:40:16
g5.12xlarge,us-west-2c,1759197016,5,5,0,2025-09-30 01:50:16
g5.12xlarge,us-west-2c,1759197616,5,5,0,2025-09-30 02:00:16
g5.12xlarge,us-west-2c,1759198216,5,5,0,2025-09-30 02:10:16
g5.12xlarge,us-west-2c,1759198816,5,4,1,2025-09-30 02:20:16
g5.12xlarge,us-west-2c,1759199416,5,5,0,2025-09-30 02:30:16
g5.12xlarge,us-west-2c,1759200016,5,5,0,2025-09-30 02:40:16
g5.12xlarge,us-west-2c,1759200616,5,5,0,2025-09-30 02:50:16
g5.12xlarge,us-west-2c,1759201216,5,5,0,2025-09-30 03:00:16
g5.12xlarge,us-west-2c,1759201816,5,0,5,2025-09-30 03:10:16
g5.12xlarge,us-west-2c,1759202416,5,0,5,2025-09-30 03:20:16
g5.12xlarge,us-west-2c,1759203016,5,0,5,2025-09-30 03:30:16
g5.12xlarge,us-west-2c,1759203616,5,0,5,2025-09-30 03:40:16
g5.12xlarge,us-west-2c,1759204216,5,0,5,2025-09-30 03:50:16
g5.12xlarge,us-west-2c,1759204816,5,0,5,2025-09-30 04:00:16
g5.12xlarge,us-west-2c,1759205416,5,0,5,2025-09-30 04:10:16
g5.12xlarge,us-west-2c,1759206016,5,0,5,2025-09-30 04:20:16
g5.12xlarge,us-west-2c,1759206616,5,0,5,2025-09-30 04:30:16
g5.12xlarge,us-west-2c,1759207216,5,0,5,2025-09-30 04:40:16
g5.12xlarge,us-west-2c,1759207816,5,0,5,2025-09-30 04:50:16
g5.12xlarge,us-west-2c,1759208416,5,0,5,2025-09-30 05:00:16
g5.12xlarge,us-west-2c,1759209016,5,0,5,2025-09-30 05:10:16
g5.12xlarge,us-west-2c,1759209616,5,0,5,2025-09-30 05:20:16
g5.12xlarge,us-west-2c,1759210216,5,0,5,2025-09-30 05:30:16
g5.12xlarge,us-west-2c,1759210816,5,0,5,2025-09-30 05:40:16
g5.12xlarge,us-west-2c,1759211416,5,0,5,2025-09-30 05:50:16
g5.12xlarge,us-west-2c,1759212016,5,0,5,2025-09-30 06:00:16
g5.12xlarge,us-west-2c,1759212616,5,0,5,2025-09-30 06:10:16
g5.12xlarge,us-west-2c,1759213216,5,0,5,2025-09-30 06:20:16
g5.12xlarge,us-west-2c,1759213816,5,0,5,2025-09-30 06:30:16
g5.12xlarge,us-west-2c,1759214416,5,0,5,2025-09-30 06:40:16
g5.12xlarge,us-west-2c,1759215016,5,0,5,2025-09-30 06:50:16
g5.12xlarge,us-west-2c,1759215616,5,0,5,2025-09-30 07:00:16
g5.12xlarge,us-west-2c,1759216216,5,0,5,2025-09-30 07:10:16
g5.12xlarge,us-west-2c,1759216816,5,0,5,2025-09-30 07:20:16
g5.12xlarge,us-west-2c,1759217416,5,0,5,2025-09-30 07:30:16
g5.12xlarge,us-west-2c,1759218016,5,0,5,2025-09-30 07:40:16
g5.12xlarge,us-west-2c,1759218616,5,0,5,2025-09-30 07:50:16
g5.12xlarge,us-west-2c,1759219216,5,0,5,2025-09-30 08:00:16
g5.12xlarge,us-west-2c,1759219816,5,5,0,2025-09-30 08:10:16
g5.12xlarge,us-west-2c,1759220416,5,5,0,2025-09-30 08:20:16
g5.12xlarge,us-west-2c,1759221016,5,5,0,2025-09-30 08:30:16
g5.12xlarge,us-west-2c,1759221616,5,5,0,2025-09-30 08:40:16
g5.12xlarge,us-west-2c,1759222216,5,5,0,2025-09-30 08:50:16
g5.12xlarge,us-west-2c,1759222816,5,5,0,2025-09-30 09:00:16
g5.12xlarge,us-west-2c,1759223416,5,5,0,2025-09-30 09:10:16
g5.12xlarge,us-west-2c,1759224016,5,5,0,2025-09-30 09:20:16
g5.12xlarge,us-west-2c,1759224616,5,5,0,2025-09-30 09:30:16
g5.12xlarge,us-west-2c,1759225216,5,5,0,2025-09-30 09:40:16
g5.12xlarge,us-west-2c,1759225816,5,5,0,2025-09-30 09:50:16
g5.12xlarge,us-west-2c,1759226416,5,5,0,2025-09-30 10:00:16
g5.12xlarge,us-west-2c,1759227016,5,5,0,2025-09-30 10:10:16
g5.12xlarge,us-west-2c,1759227616,5,5,0,2025-09-30 10:20:16
g5.12xlarge,us-west-2c,1759228216,5,5,0,2025-09-30 10:30:16
g5.12xlarge,us-west-2c,1759228816,5,5,0,2025-09-30 10:40:16
g5.12xlarge,us-west-2c,1759229416,5,5,0,2025-09-30 10:50:16
g5.12xlarge,us-west-2c,1759230016,5,5,0,2025-09-30 11:00:16
g5.12xlarge,us-west-2c,1759230616,5,5,0,2025-09-30 11:10:16
g5.12xlarge,us-west-2c,1759231216,5,5,0,2025-09-30 11:20:16
g5.12xlarge,us-west-2c,1759231816,5,5,0,2025-09-30 11:30:16
g5.12xlarge,us-west-2c,1759232416,5,5,0,2025-09-30 11:40:16
g5.12xlarge,us-west-2c,1759233016,5,5,0,2025-09-30 11:50:16
g5.12xlarge,us-west-2c,1759233616,5,5,0,2025-09-30 12:00:16
g5.12xlarge,us-west-2c,1759234216,5,5,0,2025-09-30 12:10:16
g5.12xlarge,us-west-2c,1759234816,5,5,0,2025-09-30 12:20:16
g5.12xlarge,us-west-2c,1759235416,5,5,0,2025-09-30 12:30:16
g5.12xlarge,us-west-2c,1759236016,5,5,0,2025-09-30 12:40:16
g5.12xlarge,us-west-2c,1759236616,5,5,0,2025-09-30 12:50:16
g5.12xlarge,us-west-2c,1759237216,5,5,0,2025-09-30 13:00:16
g5.12xlarge,us-west-2c,1759237816,5,5,0,2025-09-30 13:10:16
g5.12xlarge,us-west-2c,1759238416,5,5,0,2025-09-30 13:20:16
g5.12xlarge,us-west-2c,1759239016,5,5,0,2025-09-30 13:30:16
g5.12xlarge,us-west-2c,1759239616,5,5,0,2025-09-30 13:40:16
g5.12xlarge,us-west-2c,1759240216,5,5,0,2025-09-30 13:50:16
g5.12xlarge,us-west-2c,1759240816,5,5,0,2025-09-30 14:00:16
g5.12xlarge,us-west-2c,1759241416,5,5,0,2025-09-30 14:10:16
g5.12xlarge,us-west-2c,1759242016,5,5,0,2025-09-30 14:20:16
g5.12xlarge,us-west-2c,1759242616,5,5,0,2025-09-30 14:30:16
g5.12xlarge,us-west-2c,1759243216,5,5,0,2025-09-30 14:40:16
g5.12xlarge,us-west-2c,1759243816,5,5,0,2025-09-30 14:50:16
g5.12xlarge,us-west-2c,1759244416,5,5,0,2025-09-30 15:00:16
g5.12xlarge,us-west-2c,1759245016,5,5,0,2025-09-30 15:10:16
g5.12xlarge,us-west-2c,1759245616,5,5,0,2025-09-30 15:20:16
g5.12xlarge,us-west-2c,1759246216,5,5,0,2025-09-30 15:30:16
g5.12xlarge,us-west-2c,1759246816,5,5,0,2025-09-30 15:40:16
g5.12xlarge,us-west-2c,1759247416,5,5,0,2025-09-30 15:50:16
g5.12xlarge,us-west-2c,1759248016,5,5,0,2025-09-30 16:00:16
g5.12xlarge,us-west-2c,1759248616,5,5,0,2025-09-30 16:10:16
