InstanceType,AZ,DDDRequestTime,Total,Success,Fail,RequestDateTime
g5.12xlarge,us-west-2c,1759104018,5,0,5,2025-09-29 00:00:18
g5.12xlarge,us-west-2c,1759104618,5,0,5,2025-09-29 00:10:18
g5.12xlarge,us-west-2c,1759105218,5,0,5,2025-09-29 00:20:18
g5.12xlarge,us-west-2c,1759105818,5,0,5,2025-09-29 00:30:18
g5.12xlarge,us-west-2c,1759106418,5,0,5,2025-09-29 00:40:18
g5.12xlarge,us-west-2c,1759107018,5,0,5,2025-09-29 00:50:18
g5.12xlarge,us-west-2c,1759107618,5,0,5,2025-09-29 01:00:18
g5.12xlarge,us-west-2c,1759108218,5,0,5,2025-09-29 01:10:18
g5.12xlarge,us-west-2c,1759108818,5,0,5,2025-09-29 01:20:18
g5.12xlarge,us-west-2c,1759109418,5,0,5,2025-09-29 01:30:18
g5.12xlarge,us-west-2c,1759110018,5,0,5,2025-09-29 01:40:18
g5.12xlarge,us-west-2c,1759110618,5,0,5,2025-09-29 01:50:18
g5.12xlarge,us-west-2c,1759111218,5,0,5,2025-09-29 02:00:18
g5.12xlarge,us-west-2c,1759111818,5,0,5,2025-09-29 02:10:18
g5.12xlarge,us-west-2c,1759112418,5,0,5,2025-09-29 02:20:18
g5.12xlarge,us-west-2c,1759113018,5,0,5,2025-09-29 02:30:18
g5.12xlarge,us-west-2c,1759113618,5,0,5,2025-09-29 02:40:18
g5.12xlarge,us-west-2c,1759114218,5,0,5,2025-09-29 02:50:18
g5.12xlarge,us-west-2c,1759114818,5,0,5,2025-09-29 03:00:18
g5.12xlarge,us-west-2c,1759115418,5,0,5,2025-09-29 03:10:18
g5.12xlarge,us-west-2c,1759116018,5,1,4,2025-09-29 03:20:18
g5.12xlarge,us-west-2c,1759116618,5,0,5,2025-09-29 03:30:18
g5.12xlarge,us-west-2c,1759117218,5,0,5,2025-09-29 03:40:18
g5.12xlarge,us-west-2c,1759117818,5,5,0,2025-09-29 03:50:18
g5.12xlarge,us-west-2c,1759118418,5,0,5,2025-09-29 04:00:18
g5.12xlarge,us-west-2c,1759119018,5,0,5,2025-09-29 04:10:18
g5.12xlarge,us-west-2c,1759119618,5,0,5,2025-09-29 04:20:18
g5.12xlarge,us-west-2c,1759120218,5,0,5,2025-09-29 04:30:18
g5.12xlarge,us-west-2c,1759120818,5,0,5,2025-09-29 04:40:18
g5.12xlarge,us-west-2c,1759121418,5,0,5,2025-09-29 04:50:18
g5.12xlarge,us-west-2c,1759122018,5,0,5,2025-09-29 05:00:18
g5.12xlarge,us-west-2c,1759122618,5,0,5,2025-09-29 05:10:18
g5.12xlarge,us-west-2c,1759123218,5,0,5,2025-09-29 05:20:18
g5.12xlarge,us-west-2c,1759123818,5,0,5,2025-09-29 05:30:18
g5.12xlarge,us-west-2c,1759124418,5,0,5,2025-09-29 05:40:18
g5.12xlarge,us-west-2c,1759125018,5,0,5,2025-09-29 05:50:18
g5.12xlarge,us-west-2c,1759125618,5,0,5,2025-09-29 06:00:18
g5.12xlarge,us-west-2c,1759126218,5,0,5,2025-09-29 06:10:18
g5.12xlarge,us-west-2c,1759126818,5,0,5,2025-09-29 06:20:18
g5.12xlarge,us-west-2c,1759127418,5,2,3,2025-09-29 06:30:18
g5.12xlarge,us-west-2c,1759128018,5,5,0,2025-09-29 06:40:18
g5.12xlarge,us-west-2c,1759128618,5,2,3,2025-09-29 06:50:18
g5.12xlarge,us-west-2c,1759129218,5,5,0,2025-09-29 07:00:18
g5.12xlarge,us-west-2c,1759129818,5,0,5,2025-09-29 07:10:18
g5.12xlarge,us-west-2c,1759130418,5,0,5,2025-09-29 07:20:18
g5.12xlarge,us-west-2c,1759131018,5,0,5,2025-09-29 07:30:18
g5.12xlarge,us-west-2c,1759131618,5,0,5,2025-09-29 07:40:18
g5.12xlarge,us-west-2c,1759132218,5,4,1,2025-09-29 07:50:18
g5.12xlarge,us-west-2c,1759132818,5,5,0,2025-09-29 08:00:18
g5.12xlarge,us-west-2c,1759133418,5,0,5,2025-09-29 08:10:18
g5.12xlarge,us-west-2c,1759134018,5,5,0,2025-09-29 08:20:18
g5.12xlarge,us-west-2c,1759134618,5,3,2,2025-09-29 08:30:18
g5.12xlarge,us-west-2c,1759135218,5,0,5,2025-09-29 08:40:18
g5.12xlarge,us-west-2c,1759135818,5,3,2,2025-09-29 08:50:18
g5.12xlarge,us-west-2c,1759136418,5,5,0,2025-09-29 09:00:18
g5.12xlarge,us-west-2c,1759137018,5,5,0,2025-09-29 09:10:18
g5.12xlarge,us-west-2c,1759137618,5,5,0,2025-09-29 09:20:18
g5.12xlarge,us-west-2c,1759138218,5,3,2,2025-09-29 09:30:18
g5.12xlarge,us-west-2c,1759138818,5,0,5,2025-09-29 09:40:18
g5.12xlarge,us-west-2c,1759139418,5,0,5,2025-09-29 09:50:18
g5.12xlarge,us-west-2c,1759140018,5,0,5,2025-09-29 10:00:18
g5.12xlarge,us-west-2c,1759140618,5,5,0,2025-09-29 10:10:18
g5.12xlarge,us-west-2c,1759141218,5,0,5,2025-09-29 10:20:18
g5.12xlarge,us-west-2c,1759141818,5,0,5,2025-09-29 10:30:18
g5.12xlarge,us-west-2c,1759142418,5,2,3,2025-09-29 10:40:18
g5.12xlarge,us-west-2c,1759143018,5,0,5,2025-09-29 10:50:18
g5.12xlarge,us-west-2c,1759143618,5,0,5,2025-09-29 11:00:18
