InstanceType,AZ,DDDRequestTime,Total,Success,Fail,RequestDateTime
g5.12xlarge,us-west-2a,1761544801,5,5,0,2025-10-27 06:00:01
g5.12xlarge,us-west-2a,1761545401,5,5,0,2025-10-27 06:10:01
g5.12xlarge,us-west-2a,1761546001,5,5,0,2025-10-27 06:20:01
g5.12xlarge,us-west-2a,1761546601,5,5,0,2025-10-27 06:30:01
g5.12xlarge,us-west-2a,1761547201,5,5,0,2025-10-27 06:40:01
g5.12xlarge,us-west-2a,1761547801,5,5,0,2025-10-27 06:50:01
g5.12xlarge,us-west-2a,1761548401,5,5,0,2025-10-27 07:00:01
g5.12xlarge,us-west-2a,1761549001,5,5,0,2025-10-27 07:10:01
g5.12xlarge,us-west-2a,1761549601,5,5,0,2025-10-27 07:20:01
g5.12xlarge,us-west-2a,1761550201,5,3,2,2025-10-27 07:30:01
g5.12xlarge,us-west-2a,1761550801,5,5,0,2025-10-27 07:40:01
g5.12xlarge,us-west-2a,1761551401,5,5,0,2025-10-27 07:50:01
g5.12xlarge,us-west-2a,1761552001,5,5,0,2025-10-27 08:00:01
g5.12xlarge,us-west-2a,1761552601,5,5,0,2025-10-27 08:10:01
g5.12xlarge,us-west-2a,1761553201,5,5,0,2025-10-27 08:20:01
g5.12xlarge,us-west-2a,1761553801,5,5,0,2025-10-27 08:30:01
g5.12xlarge,us-west-2a,1761554401,5,5,0,2025-10-27 08:40:01
g5.12xlarge,us-west-2a,1761555001,5,2,3,2025-10-27 08:50:01
g5.12xlarge,us-west-2a,1761555601,5,5,0,2025-10-27 09:00:01
g5.12xlarge,us-west-2a,1761556201,5,5,0,2025-10-27 09:10:01
g5.12xlarge,us-west-2a,1761556801,5,5,0,2025-10-27 09:20:01
g5.12xlarge,us-west-2a,1761557401,5,3,2,2025-10-27 09:30:01
g5.12xlarge,us-west-2a,1761558001,5,2,3,2025-10-27 09:40:01
g5.12xlarge,us-west-2a,1761558601,5,0,5,2025-10-27 09:50:01
g5.12xlarge,us-west-2a,1761559201,5,5,0,2025-10-27 10:00:01
g5.12xlarge,us-west-2a,1761559801,5,0,5,2025-10-27 10:10:01
