TIMESTAMP,ContextTokens,GeneratedTokens
2024-01-01 00:00:16.143064,8974,219
2024-01-01 00:00:16.338469,3135,16
2024-01-01 00:00:16.385632,6905,3
2024-01-01 00:00:16.503134,23631,362
2024-01-01 00:00:16.890848,15761,417
2024-01-01 00:00:17.088961,7543,415
2024-01-01 00:00:17.099121,934,421
2024-01-01 00:00:17.167078,7011,3
2024-01-01 00:00:17.725742,2350,355
2024-01-01 00:00:17.885693,3357,23
2024-01-01 00:00:18.289173,19694,178
2024-01-01 00:00:18.607090,7307,3
2024-01-01 00:00:18.816725,898,57
2024-01-01 00:00:18.917870,7122,3
2024-01-01 00:00:19.348085,6484,3
2024-01-01 00:00:19.367329,6165,3
2024-01-01 00:00:19.737659,6345,3
2024-01-01 00:00:20.150671,6608,28
2024-01-01 00:00:20.336253,13886,534
2024-01-01 00:00:20.707807,6237,3
2024-01-01 00:00:20.907529,7935,375
2024-01-01 00:00:21.124843,6231,3
2024-01-01 00:00:21.253333,8429,439
2024-01-01 00:00:21.530318,3184,195
2024-01-01 00:00:22.247422,8352,387
2024-01-01 00:00:22.296279,6717,3
2024-01-01 00:00:22.481972,7173,3
2024-01-01 00:00:22.752294,3153,22
2024-01-01 00:00:22.881927,3136,20
2024-01-01 00:00:22.949540,5922,542
2024-01-01 00:00:23.158389,2651,366
2024-01-01 00:00:23.275559,3153,27
2024-01-01 00:00:23.569843,3172,17
2024-01-01 00:00:24.068412,28214,603
